firm,ipo_date,ticker,CUSIP,CRSP perm,post-issue shares,dual dum,Founding,Rollup dum
012 Smile.Communications Ltd,20071030,SMLC,M98939107,92314,25045000,0,1999,0
02 Micro International Limited,20000823,OIIM,G6797E106,88549,31900000,0,1995,0
"1 POTATO 2, INC.",19830629,SPUD,68241010,59636,2080000,0,1977,0
1-800 CONTACTS INC,19980209,CTAC,681977104,85814,6584469,0,1995,0
1-800-Flowers.com Inc,19990802,FLWS,68243Q106,87162,61621000,1,1992,0
1347 Capital Corp,20140715,TFSCU,68245V202,14877,5150000,1,2014,0
1347 Property Insurance Hldgs,20140401,PIH,68244P107,14607,3549191,0,2012,0
202 DATA SYSTEMS,19830614,TOOT,90206410,77658,3241000,0,1979,0
2020 ChinaCap Acquirco,20071112,TTY.U,90212G208,92507,-9,0,2006,0
21st Century Holding Company,19981105,TCHC,90136Q100,86435,3350000,0,1991,0
21Vianet Group Inc,20110421,VNET,90138A103,12699,322515330,1,1999,0
24/7 Media Inc,19980813,TFSM,901314104,86338,15483000,0,1998,0
"2U, Inc",20140328,TWOU,90214J101,14554,39130341,0,2008,0
3-D Geophysical,19960206,TDGO,88553V107,83172,7000350,0,1995,1
3-Dimensional Pharmaceuticals,20000803,DDDP,88554W104,88514,19200000,0,1993,0
360networks Inc,20000419,TSIX,88575T205,88201,860140000,1,1990,0
3CI Complete Compliance,19920414,TCCC,88553J104,77513,3800000,0,1989,0
3COM CORP.,19840321,COMS,88553510,76129,13504000,0,1979,0
3Dfx Interactive Inc,19970625,TDFX,88553X103,85046,12086176,0,1994,0
3Dlabs Inc.,19961119,TDDD,G8846W103,84266,14285714,0,1994,0
3DO,19930503,THDO,88553W105,79197,19562005,0,1993,0
3DX Technologies,19961220,TDXT,88554G109,84337,6905000,0,1992,0
3Net Systems,19920810,TNET,885795104,77841,2005000,0,1989,0
3PAR Inc,20071115,PAR,88580F109,92424,60015700,0,1999,0
3SBio Inc,20070206,SSRX,88575Y105,91833,150315717,1,1993,0
4th Dimension Software,19921006,DDDDF,M4656T101,78140,10533361,0,1983,0
500.com Ltd,20131122,WBAI,33829R100,14280,32057000,2,2001,0
51Job.Inc,20040928,JOBS,316827104,90361,54381479,.,1998,0
57th Gen Acquisition Corp,20100520,SQTCU,31681611,12883,0,1,2009,0
58.com,20131031,WUBA,31680Q104,14209,77788347,1,2005,0
7 Days Group Holdings Ltd,20091120,SVN,81783J10,93118,48780371,1,2004,0
724 Solutions Inc,20000127,SVNX,81788Q100,87569,35402426,0,1997,0
7th Level,19941019,SEVL,81791610,81008,10139679,0,1993,0
800 Travel Systems Inc,19980115,IFLY,282506104,85733,7309709,0,1995,0
800-JR Cigar Inc,19970626,JRJR,282491109,85016,12300000,0,1970,0
8point3 Energy Partners LP,20150619,CAFD,282539105,15415,91000000,1,2015,0
8x8 Inc,19970702,EGHT,282912104,85177,10590286,0,1987,0
99 Cents Only Stores,19960523,NDN,65440K106,83452,14180848,0,1965,0
A C Moore Arts & Crafts Inc,19971009,ACMR,00086T103,85452,7000000,0,1985,0
A Consulting Team Inc,19970808,TACX,881102,85320,5350000,0,1983,0
A Pea in the Pod,19930923,APOD,1936103,79566,4070189,0,1984,0
A.A. IMPORTING,19831207,ANTQ,35410,10031,2683000,0,1980,0
A.H. BELO,19811209,BCOR,8055510,65509,9408000,0,1926,0
A.I.N. LEASING,19830613,AINS,142510,10293,2200000,0,1980,0
A.L. LABORATORIES,19840207,BMD,162910,65832,4000000,1,1975,0
A&M FOOD SERVICES,19830920,AMFD,16510,10015,3568000,0,1973,0
A&W Brands,19870508,SODA,209106,11307,8299988,0,1919,0
A+ Communications,19930824,ACOM,1934108,79466,5624200,0,1985,0
A10 Networks Inc,20140321,ATEN,2121101,14495,59029124,0,2004,0
A123 Systems Inc,20090923,AONE,03739T108,93037,98180520,0,2001,0
A4S SECURITY Inc,20050718,SWAT,1069103,90873,3961446,0,1999,0
AAC Holdings Inc,20141002,AAC,307108,14945,20673334,0,2009,0
Aames Financial,19911203,AAMS,00253A101,77162,3303685,0,1954,0
Aaron Brothers Art Marts,19861209,AARN,00253D105,10921,2857658,0,1985,0
AARON RENTS,19821104,ARON,253510,10517,3575000,0,1962,0
Aaron Spelling Productions,19860801,SP,847809100,70199,18532142,1,1965,0
Aasche Transportation Services,19940923,ASHE,2538106,80919,2275000,0,1939,0
Aastrom Biosciences Inc,19970204,ASTM,00253U107,84511,13001565,0,1989,0
Aavid Thermal Technologies,19960129,AATT,2539104,82807,6095945,0,1964,0
Abacus Direct,19960926,ABDR,2553105,83920,9501312,0,1996,0
Abaxis,19920122,ABAX,2567105,77279,5787833,0,1989,0
Abbey Healthcare Group,19920228,ABBY,2786101,77360,9260152,0,1924,0
ABC Bancorp,19940519,ABCB,400101,80498,2417075,0,1981,0
ABC Rail Products,19931214,ABCR,752105,79932,7140000,0,1902,0
Abengoa Yield PLC,20140613,ABY,G00349103,14687,81750000,0,2012,0
Abercrombie & Fitch,19960925,ANF,2896207,83976,50000000,1,1946,0
Abgenix Inc,19980702,ABGX,00339B107,86235,10637512,0,1996,0
Abington Savings Bank,19860610,ABBK,358510,10341,2000000,0,1901,0
